task;model;accuracy;f1_macro;run_timestamp;use_title;total_ticket;noise_config
categoria;LogisticRegression;0,9270833333333334;0,919211667494861;2025-12-28 14:11:23;True;480;"{""typo_probability"": 0,05, ""abbreviation_probability"": 0,3, ""language_mixing_probability"": 0,25, ""extra_noise_probability"": 0,25, ""contamination_probability_category"": 0,45, ""contamination_probability_priority"": 0,2}"
categoria;LinearSVM;0,96875;0,9660056112840617;2025-12-28 14:11:23;True;480;"{""typo_probability"": 0,05, ""abbreviation_probability"": 0,3, ""language_mixing_probability"": 0,25, ""extra_noise_probability"": 0,25, ""contamination_probability_category"": 0,45, ""contamination_probability_priority"": 0,2}"
categoria;Naive Bayes;0,9375;0,9290749863163655;2025-12-28 14:11:23;True;480;"{""typo_probability"": 0,05, ""abbreviation_probability"": 0,3, ""language_mixing_probability"": 0,25, ""extra_noise_probability"": 0,25, ""contamination_probability_category"": 0,45, ""contamination_probability_priority"": 0,2}"
priorità;LogisticRegression;0,7916666666666666;0,8022610135286192;2025-12-28 14:11:23;True;480;"{""typo_probability"": 0,05, ""abbreviation_probability"": 0,3, ""language_mixing_probability"": 0,25, ""extra_noise_probability"": 0,25, ""contamination_probability_category"": 0,45, ""contamination_probability_priority"": 0,2}"
priorità;LinearSVM;0,7708333333333334;0,785876887340302;2025-12-28 14:11:23;True;480;"{""typo_probability"": 0,05, ""abbreviation_probability"": 0,3, ""language_mixing_probability"": 0,25, ""extra_noise_probability"": 0,25, ""contamination_probability_category"": 0,45, ""contamination_probability_priority"": 0,2}"
priorità;Naive Bayes;0,7291666666666666;0,7489557226399333;2025-12-28 14:11:23;True;480;"{""typo_probability"": 0,05, ""abbreviation_probability"": 0,3, ""language_mixing_probability"": 0,25, ""extra_noise_probability"": 0,25, ""contamination_probability_category"": 0,45, ""contamination_probability_priority"": 0,2}"
categoria;LogisticRegression;0,9791666666666666;0,9768971448228414;2025-12-28 14:12:22;True;480;"{""typo_probability"": 0,05, ""abbreviation_probability"": 0,3, ""language_mixing_probability"": 0,25, ""extra_noise_probability"": 0,25, ""contamination_probability_category"": 0,45, ""contamination_probability_priority"": 0,2}"
categoria;LinearSVM;0,9791666666666666;0,978359173126615;2025-12-28 14:12:22;True;480;"{""typo_probability"": 0,05, ""abbreviation_probability"": 0,3, ""language_mixing_probability"": 0,25, ""extra_noise_probability"": 0,25, ""contamination_probability_category"": 0,45, ""contamination_probability_priority"": 0,2}"
categoria;Naive Bayes;0,90625;0,9011688976665936;2025-12-28 14:12:22;True;480;"{""typo_probability"": 0,05, ""abbreviation_probability"": 0,3, ""language_mixing_probability"": 0,25, ""extra_noise_probability"": 0,25, ""contamination_probability_category"": 0,45, ""contamination_probability_priority"": 0,2}"
priorità;LogisticRegression;0,84375;0,8504554655870445;2025-12-28 14:12:22;True;480;"{""typo_probability"": 0,05, ""abbreviation_probability"": 0,3, ""language_mixing_probability"": 0,25, ""extra_noise_probability"": 0,25, ""contamination_probability_category"": 0,45, ""contamination_probability_priority"": 0,2}"
